Age,Number of Dependents,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,CLTV,nps_label,charge_per_month_ratio,refund_rate,extra_charges_rate,long_distance_share,nb_services,charge_per_service,is_autopay,household_size,has_referred,Gender_Female,Gender_Male,Under 30_No,Under 30_Yes,Senior Citizen_No,Senior Citizen_Yes,Married_No,Married_Yes,Dependents_No,Dependents_Yes,Referred a Friend_No,Referred a Friend_Yes,Offer_No Offer,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_No,Phone Service_Yes,Multiple Lines_No,Multiple Lines_Yes,Internet Service_No,Internet Service_Yes,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet,Online Security_No,Online Security_Yes,Online Backup_No,Online Backup_Yes,Device Protection Plan_No,Device Protection Plan_Yes,Premium Tech Support_No,Premium Tech Support_Yes,Streaming TV_No,Streaming TV_Yes,Streaming Movies_No,Streaming Movies_Yes,Streaming Music_No,Streaming Music_Yes,Unlimited Data_No,Unlimited Data_Yes,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Paperless Billing_No,Paperless Billing_Yes,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,tenure_bucket_0-12m,tenure_bucket_13-24m,tenure_bucket_25-48m,tenure_bucket_49-72m,nps_encoded
66,0,0,8,1.78,7,74.5,606.55,0.0,0,14.24,4345,Detractor,67.39444444444445,0.0,0.0,0.023438400131676407,4,14.9,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
69,0,0,24,30.87,15,76.1,1712.7,0.0,0,740.88,2018,Detractor,68.508,0.0,0.0,0.4323277119682558,4,15.219999999999999,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,0
74,0,0,4,31.61,2,95.45,396.1,0.0,0,126.44,3677,Detractor,79.22,0.0,0.0,0.3184084613447494,6,13.635714285714286,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
76,0,2,32,47.34,10,74.9,2303.35,0.0,0,1514.88,4105,Detractor,69.79848484848485,0.0,0.0,0.657400134528175,4,14.98,0,1,1,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,0
77,0,1,24,16.1,12,93.15,2231.05,0.0,0,386.4,2212,Detractor,89.242,0.0,0.0,0.17311440155910485,7,11.64375,0,1,1,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,0
70,0,0,54,12.08,5,82.45,4350.1,0.0,0,652.32,4149,Detractor,79.09272727272727,0.0,0.0,0.14992070970559168,10,7.495454545454546,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
74,0,0,2,13.17,10,70.35,139.05,0.0,0,26.34,2671,Detractor,46.35,0.0,0.0,0.18807568725455193,3,17.5875,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
77,0,0,21,0.0,8,41.9,840.1,0.0,0,0.0,4778,Detractor,38.18636363636364,0.0,0.0,0.0,4,8.379999999999999,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,0
71,0,0,27,0.0,13,30.75,805.1,0.0,140,0.0,2927,Detractor,28.75357142857143,0.0,4.409448818897638,0.0,2,10.25,0,1,0,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,0
79,0,1,11,29.54,0,19.95,214.75,0.0,0,324.94,5888,Detractor,17.895833333333332,0.0,0.0,1.5060950173812282,1,9.975,0,1,1,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,0
66,0,2,55,42.82,27,85.45,4874.7,0.0,90,2355.1,5502,Detractor,87.04821428571428,0.0,1.0410641989589358,0.48302807801956643,5,14.241666666666667,0,1,1,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,0
77,0,0,3,9.22,14,81.35,233.7,0.0,0,27.660000000000004,2818,Detractor,58.425,0.0,0.0,0.1178525777588411,5,13.558333333333332,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
80,0,0,1,35.09,17,75.3,75.3,0.0,20,35.09,4902,Detractor,37.65,0.0,0.2621231979030144,0.45989515072083886,3,18.825,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,0
77,0,0,5,0.0,26,28.45,131.05,0.0,0,0.0,4099,Detractor,21.84166666666667,0.0,0.0,0.0,3,7.1125,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,0
77,0,0,20,48.73,12,94.1,1782.4,0.0,80,974.6,2666,Detractor,84.87619047619049,0.0,0.8412197686645637,0.5464842435796793,6,13.442857142857141,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,0
72,0,4,5,45.76,22,74.35,334.8,0.0,0,228.8,5273,Detractor,55.800000000000004,0.0,0.0,0.6813579511614056,4,14.87,0,1,1,True,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
80,0,2,27,7.02,25,75.2,1929.35,0.0,0,189.54,4517,Detractor,68.90535714285714,0.0,0.0,0.098189447509519,4,15.040000000000001,0,1,1,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,0
74,0,0,4,48.35,24,89.2,346.2,0.0,0,193.4,5808,Detractor,69.24,0.0,0.0,0.5570276497695853,6,12.742857142857144,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
68,0,0,1,45.81,21,85.7,85.7,0.0,0,45.81,4880,Detractor,42.85,0.0,0.0,0.5283737024221453,5,14.283333333333333,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
78,0,3,65,18.39,28,105.25,6786.4,0.0,0,1195.35,4196,Detractor,102.82424242424241,0.0,0.0,0.17611309190558977,8,11.694444444444445,0,1,1,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,0
75,0,3,49,22.92,14,90.05,4547.25,0.0,0,1123.0800000000002,5059,Detractor,90.945,0.0,0.0,0.2469257406694883,6,12.864285714285714,0,1,1,False,True,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,0
77,0,1,43,14.52,5,110.75,4687.9,0.0,0,624.36,2728,Detractor,106.54318181818181,0.0,0.0,0.13315703043357718,9,11.075,0,1,1,False,True,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,0
80,0,0,56,48.8,12,104.55,5794.65,0.0,0,2732.8,6268,Detractor,101.66052631578947,0.0,0.0,0.4715260583368561,8,11.616666666666667,0,1,0,False,True,True,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,0
75,0,7,20,5.31,10,94.55,1899.65,0.0,0,106.2,5604,Detractor,90.45952380952382,0.0,0.0,0.05587562149790861,7,11.81875,0,1,1,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,0
69,0,0,2,47.47,19,89.5,161.5,0.0,0,94.94,2065,Detractor,53.833333333333336,0.0,0.0,0.5842461538461539,7,11.1875,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False,False,0
74,0,0,8,27.95,0,19.65,164.3,0.0,0,223.6,5432,Detractor,18.255555555555556,0.0,0.0,1.352692075015124,1,9.825,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,0
76,0,0,52,0.0,18,49.15,2550.9,0.0,30,0.0,5597,Detractor,48.130188679245286,0.0,0.5982053838484547,0.0,5,8.191666666666666,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,0
69,0,0,2,43.99,27,49.25,91.1,0.0,0,87.98,3475,Detractor,30.366666666666664,0.0,0.0,0.9552660152008687,4,9.85,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
72,0,1,33,27.78,8,94.5,3105.55,0.0,0,916.74,4333,Detractor,91.33970588235294,0.0,0.0,0.29509906487904586,6,13.5,0,1,1,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,0
69,0,0,30,45.88,19,91.7,2758.15,0.0,0,1376.4,2482,Detractor,88.97258064516129,0.0,0.0,0.49884928329376804,7,11.4625,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,0
73,0,0,20,44.44,13,98.55,1842.8,0.0,120,888.8,5444,Detractor,87.75238095238095,0.0,1.2054244098442994,0.482047944462523,6,14.078571428571427,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,0
65,0,0,46,2.37,20,110.0,4874.8,0.0,0,109.02,2403,Detractor,103.71914893617021,0.0,0.0,0.02235940768694368,10,10.0,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,0
74,0,1,7,21.91,11,95.6,644.35,0.0,0,153.37,3265,Detractor,80.54375,0.0,0.0,0.23765398620903386,6,13.657142857142857,0,1,1,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
65,0,0,4,36.93,18,78.85,292.8,0.0,0,147.72,5301,Detractor,58.56,0.0,0.0,0.502791014295439,4,15.77,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
66,0,0,55,37.38,7,100.0,5509.3,0.0,100,2055.9,5679,Detractor,98.38035714285715,0.0,0.9900990099009901,0.37310128305173945,7,12.5,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,True,0
71,0,1,20,5.37,24,73.65,1463.5,0.0,0,107.4,5849,Detractor,69.69047619047619,0.0,0.0,0.07333560942301127,4,14.73,0,1,1,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,0
65,0,0,9,48.71,15,100.5,918.6,0.0,0,438.39,4038,Detractor,91.86,0.0,0.0,0.4767181383210091,8,11.166666666666666,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
69,0,0,10,5.46,24,72.85,688.65,0.0,30,54.6,3189,Detractor,62.60454545454545,0.0,0.40622884224779965,0.07917059377945335,3,18.2125,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,0
75,0,0,1,36.92,6,73.55,73.55,0.0,0,36.92,4369,Detractor,36.775,0.0,0.0,0.49523809523809526,4,14.709999999999999,0,1,0,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
75,0,0,3,41.9,11,79.4,205.05,0.0,0,125.7,3501,Detractor,51.2625,0.0,0.0,0.6100461053142441,5,13.233333333333334,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
68,0,0,4,6.68,17,84.6,360.1,0.0,0,26.72,2467,Detractor,72.02000000000001,0.0,0.0,0.07399612295762946,5,14.1,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
71,0,0,35,20.83,19,99.05,3395.8,0.0,120,729.05,2074,Detractor,94.32777777777778,0.0,1.199400299850075,0.21462847385774844,6,14.15,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,0
80,0,0,2,26.62,11,44.95,85.15,0.0,0,53.24,5900,Detractor,28.383333333333336,0.0,0.0,0.6179918746372606,3,11.2375,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,0
66,0,0,8,11.57,27,100.3,832.35,0.0,0,92.56,5084,Detractor,92.48333333333333,0.0,0.0,0.1110697786044279,8,11.144444444444444,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False,True,False,True,False,False,False,0
73,0,2,44,0.0,28,30.35,1359.7,0.0,0,0.0,4829,Detractor,30.215555555555557,0.0,0.0,0.0,3,7.5875,0,1,1,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,0
77,0,1,62,7.11,16,103.75,6383.35,0.0,0,440.82,5052,Detractor,101.32301587301588,0.0,0.0,0.06904696641004957,9,10.375,0,1,1,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,0
76,0,1,33,33.19,15,80.6,2656.5,0.0,0,1095.27,3601,Detractor,78.13235294117646,0.0,0.0,0.41214299153339606,5,13.433333333333332,0,1,1,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,0
65,0,0,4,49.5,23,94.3,424.45,0.0,0,198.0,5419,Detractor,84.89,0.0,0.0,0.4653895874955929,7,11.7875,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
